,0
165,"[40.9125992, -73.8370786]"
166,"[43.0962143, -79.0377388]"
167,"[41.7747878, -78.02056019999999]"
168,"[43.4083637, -84.6066704]"
169,"[37.7306054, -88.9331256]"
170,"[43.6590993, -70.2568189]"
171,"[38.707982, -77.0861753]"
172,"[43.0730517, -89.4012302]"
173,"[40.4620172, -78.19973200000001]"
174,"[42.46676300000001, -70.9494938]"
175,"[41.81089799999999, -78.27973519999999]"
176,"[49.895136, -97.13837439999999]"
177,"[30.080174, -94.1265562]"
178,"[39.9259463, -75.1196199]"
179,"[42.72561839999999, -77.8741694]"
180,"[41.1300092, -75.2128996]"
181,"[43.2128473, -75.4557303]"
182,"[41.5581525, -73.0514965]"
183,"[41.3306493, -74.1868135]"
184,"[45.5122308, -122.6587185]"
185,"[42.91200720000001, -77.7455583]"
186,"[41.4421199, -75.5742467]"
187,"[36.7377981, -119.7871247]"
188,"[40.2731911, -76.8867008]"
189,"[39.9356016, -91.4098726]"
190,"[29.1438582, -95.6452249]"
191,"[40.2031265, -79.92616029999999]"
192,"[40.4211798, -79.7881024]"
193,"[32.2246101, -104.0715779]"
194,"[44.3148443, -85.60236429999999]"
195,"[41.8459169, -70.9495226]"
196,"[47.5052849, -111.3007715]"
197,"[43.7844397, -88.7878678]"
198,"[40.6970906, -73.3130366]"
199,"[29.9382674, -91.0274993]"
200,"[40.6262022, -76.1235511]"
201,"[51.253775, -85.323214]"
202,"[40.7920454, -74.0037505]"
203,"[46.1878841, -123.8312534]"
204,"[29.3055853, -94.7921799]"
205,"[40.7617793, -73.9936081]"
206,"[43.653226, -79.3831843]"
207,"[45.4215296, -75.69719309999999]"
208,"[40.8259007, -74.2090053]"
209,"[38.4735237, -122.8902721]"
210,"[30.42130899999999, -87.2169149]"
211,"[29.4241219, -98.49362819999999]"
212,"[37.025954, -76.3426949]"
213,"[30.267153, -97.7430608]"
214,"[42.0103519, -76.5271659]"
215,"[44.2311717, -76.4859544]"
216,"[41.0970071, -78.8886436]"
217,"[34.2284312, -92.00319549999999]"
218,"[40.1158593, -75.3484641]"
219,"[42.2711311, -89.0939952]"
220,"[30.1010323, -90.9928773]"
221,"[41.1094024, -78.7714184]"
222,"[40.5814546, -79.5664333]"
223,"[47.24659219999999, -88.45400599999999]"
224,"[40.5876009, -75.1585075]"
225,"[41.4736452, -89.24925309999999]"
226,"[40.1003506, -79.5869834]"
227,"[40.2472924, -79.67726449999999]"
228,"[33.4017766, -86.954437]"
229,"[32.4219655, -83.63484299999999]"
230,"[41.0353371, -80.53645929999999]"
231,"[39.2508229, -106.2925238]"
232,"[37.8043637, -122.2711137]"
233,"[40.1923357, -74.01597029999999]"
234,"[35.8856194, -87.806692]"
235,"[42.9981156, -78.1875167]"
236,"[41.55076020000001, -84.5222189]"
237,"[43.0828162, -79.07416289999999]"
238,"[40.7263249, -74.22864349999999]"
239,"[41.5736935, -75.5018508]"
240,"[42.795896, -77.816947]"
241,"[37.0582786, -120.8499151]"
242,"[41.7130314, -76.4740454]"
243,"[41.0534302, -73.5387341]"
244,"[41.4561754, -82.71168209999999]"
245,"[46.49771150000001, -84.3475876]"
246,"[42.3463503, -71.1626756]"
247,"[42.1014831, -72.589811]"
248,"[31.5604442, -91.40317100000001]"
249,"[36.9067631, -82.78182749999999]"
250,"[33.5185892, -86.8103567]"
251,"[42.7284117, -73.69178509999999]"
252,"[43.1060531, -74.05351259999999]"
253,"[40.6259316, -75.37045789999999]"
254,"[40.94870969999999, -73.7326309]"
255,"[34.5199402, -105.8700901]"
256,"[44.2163337, -73.59044779999999]"
257,"[41.1481684, -104.7990054]"
258,"[39.9606643, -75.6054882]"
259,"[40.9436753, -78.9708668]"
260,"[41.9564953, -78.649163]"
261,"[42.83056, -77.89721999999999]"
262,"[42.4500845, -73.2453824]"
263,"[41.7549658, -70.8452677]"
264,"[32.7766642, -96.79698789999999]"
265,"[45.2062926, -72.7471405]"
266,"[41.0272796, -78.4391876]"
267,"[41.5964825, -73.91096999999999]"
268,"[39.4380656, -99.2650967]"
269,"[38.9108325, -75.52766989999999]"
270,"[40.2464593, -80.2114472]"
271,"[37.4315734, -78.6568942]"
272,"[42.8945294, -71.6742393]"
273,"[40.6687141, -74.1143091]"
274,"[42.2775281, -71.3468091]"
275,"[41.4901024, -71.3128285]"
276,"[37.9805686, -101.7526718]"
277,"[42.3709299, -71.1828321]"
278,"[39.6569817, -87.3980741]"
279,"[41.67176480000001, -72.9492703]"
280,"[41.9043113, -71.69106599999999]"
281,"[35.8083932, -97.012807]"
282,"[42.3401767, -77.03341790000002]"
283,"[42.3284854, -77.7108686]"
284,"[46.0038232, -112.5347775]"
285,"[41.0017643, -73.66568339999999]"
286,"[42.5883549, -79.0176461]"
287,"[37.2741908, -97.1689296]"
288,"[42.7777214, -81.18265269999999]"
289,"[41.513264, -73.60482879999999]"
290,"[41.9550296, -87.94006569999999]"
291,"[37.2279279, -77.40192669999999]"
292,"[40.2720151, -81.8595756]"
293,"[39.768403, -86.158068]"
294,"[41.6709834, -93.7130493]"
295,"[42.7925777, -73.6812293]"
296,"[40.4643479, -79.926266]"
297,"[41.11774399999999, -73.4081575]"
298,"[41.506106, -76.95392149999999]"
299,"[40.3943489, -81.3230322]"
300,"[39.6108888, -74.8332274]"
301,"[41.7386662, -80.7698066]"
302,"[38.0583249, -107.968955]"
303,"[40.4034024, -79.8683824]"
304,"[44.8016128, -68.7712257]"
305,"[41.2565369, -95.9345034]"
306,"[43.0528506, -74.3437467]"
307,"[40.76719, -74.24695849999999]"
308,"[40.7022882, -80.28645089999999]"
309,"[40.1006661, -74.8518311]"
310,"[39.6203259, -90.04400009999999]"
311,"[41.248211, -78.758499]"
312,"[39.5296329, -119.8138027]"
313,"[41.5800945, -71.4774291]"
314,"[30.25689259999999, -82.9026289]"
315,"[41.2650318, -88.21228230000001]"
316,"[39.9453527, -79.9956095]"
317,"[43.2557206, -79.8711024]"
318,"[41.9270367, -73.9973608]"
319,"[42.9921579, -79.2482555]"
320,"[32.3526456, -90.877882]"
321,"[42.2625932, -71.8022934]"
322,"[40.9292311, -79.01558969999999]"
323,"[43.0925684, -75.65129309999999]"
324,"[41.2492279, -78.7994738]"
325,"[42.41676349999999, -71.68290809999999]"
326,"[40.3356483, -75.9268747]"
327,"[30.0157647, -100.2053582]"
328,"[41.4349882, -82.4752757]"
329,"[40.4086802, -80.0833885]"
330,"[39.78172130000001, -89.6501481]"
331,"[42.9047884, -76.8627367]"
332,"[41.6771101, -71.26620249999999]"
333,"[36.1699412, -115.1398296]"
334,"[40.1003509, -79.84060099999999]"
335,"[39.69317119999999, -74.9426662]"
336,"[36.3100688, -96.4641886]"
337,"[41.322316, -74.8023882]"
338,"[41.2799027, -72.81411849999999]"
339,"[43.1186374, -83.6949583]"
340,"[40.1539613, -79.7411535]"
341,"[40.7598227, -74.417097]"
342,"[35.4675602, -97.5164276]"
343,"[41.5381535, -72.80704349999999]"
344,"[44.9537029, -93.0899578]"
