Number,CityTownofLastResidence,DestinationCityTown,Province,ShipName,Port,Arrival,lat,lng
473,POGGIOREALE,HOUSTON-TX,Trapani,KAISER WILHELM II,GENOA,11/09/1897,29.7604267,-95.3698028
474,MARINEO,NEW YORK,Palermo,BURGUNDIA,NAPLES,09/29/1897,40.7127753,-74.0059728
475,GANGI,NEW YORK,Palermo,VICTORIA,NAPLES,01/05/1899,40.7127753,-74.0059728
476,CERDA,NEW YORK,Palermo,KARAMANIA,NAPLES,12/17/1897,40.7127753,-74.0059728
477,ALIMENA,NEW YORK,Palermo,ASSYRIA,NAPLES,06/28/1893,40.7127753,-74.0059728
478,PARTINICO,NEW YORK,Palermo,SPARTAN PRINCE,UNKNOWN,12/26/1898,40.7127753,-74.0059728
479,MONTEVAGO,BROOKLYN,Agrigento,TARTAR PRINCE,GENOA,05/09/1899,40.6781784,-73.9441579
480,VILLAROSA,NEW YORK,Enna,FULDA,GENOA,02/17/1898,40.7127753,-74.0059728
481,PALERMO,NEW YORK,Palermo,TROJAN PRINCE,UNKNOWN,09/06/1898,40.7127753,-74.0059728
482,GANGI,NEW YORK,Palermo,VINCENZO FLORIO,NAPLES,12/20/1900,40.7127753,-74.0059728
483,MONTEVAGO,BROOKLYN,Agrigento,TARTAR PRINCE,GENOA,05/09/1899,40.6781784,-73.9441579
484,MARIANOPOLI,ELEONORE-PA,Caltanissetta,EMS,GENOA,6/14/1900,40.2006537,-74.8265371
485,PALERMO,USA,Palermo,LA GASCOGNE,HAVRE,05/23/1895,37.09024,-95.712891
486,ROCCAPALUMBA,NEW YORK,Palermo,HESPERIA,NAPLES,05/01/1898,40.7127753,-74.0059728
487,SCIACCA,NEW YORK,Agrigento,PATRIA,NAPLES,07/01/1896,40.7127753,-74.0059728
488,SCIACCA,NEW YORK,Agrigento,KARAMANIA,NAPLES,12/23/1898,40.7127753,-74.0059728
489,MONTEVAGO,NEW YORK,Agrigento,LETIMBRO,PALERMO,09/12/1888,40.7127753,-74.0059728
490,MENFI,NEW YORK,Agrigento,WERRA,GENOA,12/29/1899,40.7127753,-74.0059728
491,SCIACCA,NEW YORK,Agrigento,ARCHIMEDE,NAPLES,08/04/1899,40.7127753,-74.0059728
492,LASCARI,NEW YORK,Palermo,HESPERIA,NAPLES,09/28/1898,40.7127753,-74.0059728
493,NICOSIA,NEW YORK,Enna,MARCO MINGHETTI,NAPLES,3/16/1900,40.7127753,-74.0059728
494,PALERMO,BROOKLYN,Palermo,BOLIVIA,NAPLES,11/24/1897,40.6781784,-73.9441579
495,MARIANOPOLI,BUFFALO,Caltanissetta,VICTORIA,NAPLES,7/19/1900,42.8864468,-78.8783689
496,NICOSIA,USA,Enna,EMS,GENOA,10/12/1899,37.09024,-95.712891
497,NICOSIA,USA,Enna,EMS,GENOA,10/12/1899,37.09024,-95.712891
498,NICOSIA,USA,Enna,EMS,GENOA,10/12/1899,37.09024,-95.712891
499,PALERMO,NEW YORK,Palermo,HESPERIA,NAPLES,07/21/1897,40.7127753,-74.0059728
500,SCIACCA,NEW YORK,Agrigento,SEMPIONE,NAPLES,11/04/1899,40.7127753,-74.0059728
501,MESSINA,BROOKLYN,Messina,NEUSTRIA,MARSEILLES & NAPLES,07/24/1895,40.6781784,-73.9441579
502,MESSINA,BROOKLYN,Messina,NEUSTRIA,MARSEILLES & NAPLES,07/24/1895,40.6781784,-73.9441579
503,PALERMO,BROOKLYN,Palermo,BOLIVIA,NAPLES,11/24/1897,40.6781784,-73.9441579
504,SCIACCA,NEW YORK,Agrigento,ARCHIMEDE,NAPLES,2/16/1900,40.7127753,-74.0059728
505,MONTEVAGO,NEW YORK,Agrigento,KARAMANIA,NAPLES,03/06/1888,40.7127753,-74.0059728
506,CERDA,NEW YORK,Palermo,KARAMANIA,NAPLES,12/17/1897,40.7127753,-74.0059728
507,CAMPOREALE,NEW YORK,Palermo,PATRIA,MARSEILLES & NAPLES,11/4/1900,40.7127753,-74.0059728
508,GANGI,NEW YORK,Palermo,VINCENZO FLORIO,NAPLES,12/20/1900,40.7127753,-74.0059728
509,PALERMO,BROOKLYN NY,Palermo,ARCHIMEDE,NAPLES & PALERMO,6/26/1900,40.6781784,-73.9441579
510,SCIACCA,NEW YORK,Agrigento,SEMPIONE,NAPLES,7/9/1900,40.7127753,-74.0059728
511,CAMPOREALE,BROOKLYN NY,Palermo,PATRIA,MARSEILLES & NAPLES,11/4/1900,40.6781784,-73.9441579
512,PALERMO,BROOKLYN,Palermo,BOLIVIA,NAPLES,11/24/1897,40.6781784,-73.9441579
513,CAMPOREALE,BROOKLYN NY,Palermo,PATRIA,MARSEILLES & NAPLES,11/4/1900,40.6781784,-73.9441579
514,ALIMENA,NEW YORK,Palermo,KARAMANIA,NAPLES,6/19/1900,40.7127753,-74.0059728
515,MARIANOPOLI,ELEONORE-PA,Caltanissetta,EMS,GENOA,6/14/1900,40.2006537,-74.8265371
516,CERDA,NEW YORK,Palermo,KARAMANIA,NAPLES,12/17/1897,40.7127753,-74.0059728
517,PALERMO,NEW YORK,Palermo,TROJAN PRINCE,UNKNOWN,09/06/1898,40.7127753,-74.0059728
518,PALERMO,BROOKLYN,Palermo,BOLIVIA,NAPLES,11/24/1897,40.6781784,-73.9441579
519,CERDA,NEW YORK,Palermo,KARAMANIA,NAPLES,12/17/1897,40.7127753,-74.0059728
520,LICATA,NEW YORK,Agrigento,PATRIA,MARSEILLES & NAPLES,11/4/1900,40.7127753,-74.0059728
521,BOMPIETRO,CHICAGO IL,Palermo,CHATEAU YQUEM,NAPLES,4/28/1900,41.8781136,-87.6297982
522,CASTELBUONO,NEW YORK,Palermo,CHATEAU YQUEM,MARSEILLES,1/3/1900,40.7127753,-74.0059728
523,SCIACCA,NEW YORK,Agrigento,TROJAN PRINCE,GENOA,11/24/1899,40.7127753,-74.0059728
524,AUGUSTA,BOSTON,Siracusa,PATRIA,NAPLES,12/01/1899,42.3600825,-71.0588801
525,PALERMO,NEW-ORLEANS,Palermo,BIRMANIA,NAPLES & PALERMO,11/04/1890,29.9510658,-90.0715323
526,PALERMO,BUFFALO,Palermo,ELYSIA,NAPLES,12/19/1892,42.8864468,-78.8783689
527,CORLEONE,NEW YORK,Palermo,PLATA,NAPLES,05/19/1894,40.7127753,-74.0059728
528,CERDA,NEW YORK,Palermo,VICTORIA,NAPLES,08/11/1897,40.7127753,-74.0059728
529,CORLEONE,NEW YORK,Palermo,ARCHIMEDE,NAPLES,08/04/1899,40.7127753,-74.0059728
530,CACCAMO,NEW YORK,Palermo,ALSATIA,NAPLES,03/19/1898,40.7127753,-74.0059728
531,CIMINNA,NEW YORK,Palermo,BRITANNIA,NAPLES,07/27/1898,40.7127753,-74.0059728
