Number,CityTownofLastResidence,DestinationCityTown,Province,ShipName,Port,Arrival,lat,lng
102,POGGIOREALE,NEW-ORLEANS-LA,Trapani,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
103,POGGIOREALE,NEW-ORLEANS-LA,Trapani,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
104,POGGIOREALE,NEW-ORLEANS-LA,Trapani,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
105,ROCCAMENA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
106,CORLEONE,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
107,MEZZOJUSO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
108,VICARI,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
109,MENFI,NEW-ORLEANS-LA,Agrigento,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
110,ALIA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
111,ALIA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
112,ROCCAMENA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
113,ROCCAMENA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
114,ROCCAPALUMBA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
115,MEZZOJUSO,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
116,CORLEONE,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
117,TRABIA,NEW-ORLEANS-LA,Palermo,MONTEBELLO,PALERMO,11/22/1895,29.9510658,-90.0715323
