,DestRaw,Dest
410,WATERBURY,WATERBURY
411,MIDDLETOWN CT,"MIDDLETOWN, CT"
412,MONROE P,MONROE P
413,PORTLAND OR,"PORTLAND, OR"
414,S. FELE,S. FELE
415,AVON-NY,"AVON, NY"
416,NEW,NEW
417,BREYON-TX,"BREYON, TX"
418,BERVIND-CO,"BERVIND, CO"
419,LACKAWANNA PA,"LACKAWANNA, PA"
420,IL,IL
421,NEW-YORKL,NEW YORK
422,TRINIDAD COL,TRINIDAD COL
423,NEW HAVEN CT,"NEW HAVEN, CT"
424,FRESNO CA,"FRESNO, CA"
425,NE WYORK,NEW YORK
426,CLINTON VT.,"CLINTON, VT"
427,PINX--,PINX--
428,BROCOLY,BROCOLY
429,RALSTON,RALSTON
430,HARRISBURG,HARRISBURG
431,QUINCY-IL,"QUINCY, IL"
432,CHARLESTON-PA,"CHARLESTON, PA"
433,MILWAUKEE WI.,"MILWAUKEE, WI"
434,"PITTSBURG, PA","PITTSBURG, PA"
435,COLUMBIA-TX,"COLUMBIA, TX"
436,PLAQUENI,PLAQUENI
437,MONONGAHELA,MONONGAHELA
438,MONROEVILLE,MONROEVILLE
439,REC-PORT,REC-PORT
440,BUFFALO MD,"BUFFALO, MD"
441,TAMPA,"TAMPA, FL"
442,MALAGA N.M.,"MALAGA, NM"
443,MICHIGAN,MICHIGAN
444,S LOUIS MI,S LOUIS MI
445,ST. LOUIS,"ST. LOUIS, MO"
446,MIDDLETON CN,MIDDLETON CN
447,GINLENA,GINLENA
448,MOUNT VERNON,MOUNT VERNON
449,AVON NY,"AVON, NY"
450,LOWESVILLE OH,"LOWESVILLE, OH"
451,ALBANY NY,"ALBANY, NY"
452,BUFALO NJ,"BUFALO, NJ"
453,LAKEVILLE MA,"LAKEVILLE, MA"
454,HAKLETON PA,"HAKLETON, PA"
455,C------,C------
456,GREAT FALLS MT,"GREAT FALLS, MT"
457,WISCONSIN,WISCONSIN
458,WALSON,WALSON
459,LACHARLES,LACHARLES
460,NAPOLEONVILLE,NAPOLEONVILLE
461,RICHESTER,RICHESTER
462,LANDENGSVILLE,LANDENGSVILLE
463,MONANGAHELA-CITY,MONANGAHELA CITY
464,CACSAS-C,CACSAS-C
465,SAN-JOSEPH-CA,"SAN JOSEPH, CA"
466,ONTARIO,ONTARIO
467,GUTTENBERG NJ,"GUTTENBERG, NJ"
468,COUZVILLI,COUZVILLI
469,WILLIAMSPORT-PA,"WILLIAMSPORT, PA"
470,ASTORIA,ASTORIA
471,ASTOTIA-RI,"ASTOTIA, RI"
472,ONTARIO-CANADA,"ONTARIO, CANADA"
473,MARYLND,MARYLND
474,GALVESTON-MA,"GALVESTON, MA"
475,ELISABETH-NY,"ELISABETH, NY"
476,ORANGE,ORANGE
477,GREENSBURG,GREENSBURG
478,JOHUNSTOWN-PA,"JOHUNSTOWN, PA"
479,MINIASBURG-OH,"MINIASBURG, OH"
480,GENESCO,GENESCO
481,BRYANT-TX,"BRYANT, TX"
482,TORONTO,TORONTO
483,JOUDSTON,JOUDSTON
484,OTTAWA,OTTAWA
485,BRAYON-TX,"BRAYON, TX"
486,NEW-JERSEY-MA,"NEW JERSEY, MA"
487,MONTECLAIR,MONTECLAIR
488,NAPOLEONVILLA,NAPOLEONVILLA
489,DAYTON-OH,"DAYTON, OH"
490,FORESVILLE,FORESVILLE
491,JOHUNSTOWN,JOHUNSTOWN
492,PENSACOLA,"PENSACOLA, FL"
493,NE WYORK CITY,NEW YORK CITY
494,SAN ANTONIO TX,"SAN ANTONIO, TX"
495,"BOSTON, MA.","BOSTON, MA"
496,NEW OREANS,"NEW ORLEANS, LA"
497,BRANT,BRANT
498,MONTE MAGGIA,MONTE MAGGIA
499,OLD-POINT,OLD-POINT
500,PITTSTON PA.,PITTSTON PA.
501,NEW ORLEAN,"NEW ORLEANS, LA"
502,BOSTOPN,"BOSTON, MA"
503,CHARLESTON-MA,"CHARLESTON, MA"
504,NORWICH,NORWICH
505,NEW-YOPRK,NEW YORK
506,OSURGA NY,"OSURGA, NY"
507,JOHSTOWN-PA,"JOHSTOWN, PA"
508,DELANGER,DELANGER
509,WATERBURG,WATERBURG
510,NEW JERSEY,NEW JERSEY
511,NORRISTON-PA,"NORRISTON, PA"
512,AUSTIN-TX,"AUSTIN, TX"
513,WAVERLY NY,"WAVERLY, NY"
514,MC KRESP,MC KRESP
515,JOUNGSTON,JOUNGSTON
516,YOUNGSTON,YOUNGSTON
517,KINGSTON,KINGSTON
518,HESTER,HESTER
519,RENOLDSVILLE-PA,"RENOLDSVILLE, PA"
520,ELEONOR PA,"ELEONOR, PA"
521,SAN FRANCISCO-CA,"SAN FRANCISCO, CA"
522,NEW-YOEK,NEW YORK
523,UTICA-NY,"UTICA, NY"
524,PINE-BLUFF,PINE BLUFF
525,ALLEGHENY-PA,"ALLEGHENY, PA"
526,VANNATON CONN,VANNATON CONN
527,MIDDELTOWN CT,"MIDDELTOWN, CT"
528,PITTSTON PA,PITTSTON PA
529,CINCINATI OH,"CINCINNATI, OH"
530,REYNOLDSVILLE PA,"REYNOLDSVILLE, PA"
531,IOLONSTOWN PA,"IOLONSTOWN, PA"
532,LA,LA
533,BELLEROSE-PA,"BELLEROSE, PA"
534,NORRISTOWN NJ,"NORRISTOWN, NJ"
535,ROCKFORD IL,"ROCKFORD, IL"
536,ALBAMA,ALABAMA
537,DONALSO LA,"DONALSO, LA"
538,VT,VT
539,OAKLAND CO,"OAKLAND, CO"
540,HOBOKEN-NY,"HOBOKEN, NY"
541,DON BOIS PA,"DON BOIS, PA"
542,APOLLO-PA,"APOLLO, PA"
543,CALUMET MI,"CALUMET, MI"
544,MEKERSFORT,MEKERSFORT
545,IOENELLIS,IOENELLIS
546,NYW-YORK,NEW YORK
547,AMSTERDAM-NJ,"AMSTERDAM, NJ"
548,NORFOLK,NORFOLK
549,ARLINGTON IL,"ARLINGTON, IL"
550,SCOTTSDALE PA,"SCOTTSDALE, PA"
551,CINCINNATI-OH,"CINCINNATI, OH"
552,MADISON-PA,"MADISON, PA"
553,NEW LONDON CT,"NEW LONDON, CT"
554,SILVER BROOK,SILVER BROOK
555,BESSEMER AL,"BESSEMER, AL"
556,HOUSTON GA,"HOUSTON, GA"
557,MONTON NJ,"MONTON, NJ"
558,NORISTON-PA,"NORISTON, PA"
559,NORISTON,NORISTON
560,VALSTON PA,"VALSTON, PA"
561,HILLSVILLE PA.,"HILLSVILLE, PA"
562,LOWELLIVILLE OH,"LOWELLIVILLE, OH"
563,NEW-YORK-DIED,NEW YORK
564,LEADVILLE CO,"LEADVILLE, CO"
565,GREENLAND,GREENLAND
566,INDIA-TER,INDIA-TER
567,GLAVERTON-PA,"GLAVERTON, PA"
568,OTTAURI CT,OTTAURI CT
569,KABSAS-CITY,"KANSAS CITY, MO"
570,FRANKLIN,FRANKLIN
571,JOUNSTON PA,"JOUNSTON, PA"
572,OAKLAND,OAKLAND
573,WILSTON-MA,"WILSTON, MA"
574,PITTSBIRG,PITTSBIRG
575,ELMIRA NY,"ELMIRA, NY"
576,NEW YOKR,NEW YORK
577,MOUNT MORRIS NY,"MOUNT MORRIS, NY"
578,SPRINGFIELD,SPRINGFIELD
579,BATTENEY-PA,"BATTENEY, PA"
580,AVON NJ,"AVON, NJ"
581,SARACUSE,SARACUSE
582,UTTICA NY,"UTTICA, NY"
583,S SAGINARO MISH,"S SAGINARO, MI"
584,WESTERLY-R I,"WESTERLY, RI"
585,WESTERLY-R.I.,"WESTERLY, RI"
586,PERTAGA PA,"PERTAGA, PA"
587,BUFFALO TN,"BUFFALO, TN"
588,MOUNTE--,MOUNTE--
589,JOHUSTON-PA,"JOHUSTON, PA"
590,MOUNT--,MOUNT--
591,BATAVIA NY,"BATAVIA, NY"
592,WILLIAMS OH,"WILLIAMS, OH"
593,S.LUCIA,S.LUCIA
594,ALTOMONTE,ALTOMONTE
595,RELA---,RELA---
596,ROMA,ROMA
597,MAIFIT PA,"MAIFIT, PA"
598,MEEKFORT,MEEKFORT
599,ELENOR-PA,"ELENOR, PA"
600,JERSEY-CITY,JERSEY CITY
601,MILIWAKEE WI,"MILIWAKEE, WI"
602,NIAGRA FALLS,NIAGRA FALLS
603,NEWARK-NJ,"NEWARK, NJ"
604,S.JOSE-CA,"SAN JOSE, CA"
605,IRVINGTON,IRVINGTON
606,NORD-STO,NORD-STO
607,WALLSTON,WALLSTON
608,CARBONDALE-PA,"CARBONDALE, PA"
609,GENESCO NY,"GENESCO, NY"
610,DELANEY-PA,"DELANEY, PA"
611,NWE YORK,NEW YORK
612,FREDONIA NY,"FREDONIA, NY"
613,SANJOSE CA,"SAN JOSE, CA"
614,MORRIS N,MORRIS N
615,ROME NY,"ROME, NY"
616,MC KESPORT,MC KESPORT
617,VILEGRES PA,"VILEGRES, PA"
618,BANOS-CA,"BANOS, CA"
619,LOS ANGELES CA,"LOS ANGELES, CA"
620,ELEONORA-PA,"ELEONORA, PA"
621,SCRANTON-PA,"SCRANTON, PA"
622,ROME,ROME
623,JOHUNSTON-PA,"JOHUNSTON, PA"
624,JOHUSTOWN-PA,"JOHUSTOWN, PA"
625,PIZZE,PIZZE
626,MONROE-PA,"MONROE, PA"
627,MANROE,MANROE
628,MONROE,MONROE
629,NEWORLEANS,"NEW ORLEANS, LA"
630,S.F. MESSICO,S.F. MESSICO
631,STANFORT-CT,"STANFORT, CT"
632,SANDUSCY OH,"SANDUSKY, OH"
633,ERIE PA,"ERIE, PA"
634,#NAME?,#NAME?
635,RELARES PA,"RELARES, PA"
636,S. SAINT MARIE,S. SAINT MARIE
637,BRIGHTON-MA,"BRIGHTON, MA"
638,BRIGHTON,BRIGHTON
639,"SPRINGFIELD,MA","SPRINGFIELD, MA"
640,NATCHEZ MISS.,"NATCHEZ, MS"
641,APPALACHIA VA,"APPALACHIA, VA"
642,BIRMINGHAM AL,"BIRMINGHAM, AL"
643,TROY-NY,"TROY, NY"
644,PROVIDENCE NY,"PROVIDENCE, NY"
645,NORRISTOWN PA.,"NORRISTOWN, PA"
646,#NAME?,#NAME?
647,JERSEY CITY NJ,"JERSEY CITY, NJ"
648,BETHLEHEM PA,"BETHLEHEM, PA"
649,MAMARONECK NY,"MAMARONECK, NY"
650,TORONTO CANADA,"TORONTO, CANADA"
651,HILLSVILL OH,"HILLSVILL, OH"
652,ST.LOUIS MO,"ST. LOUIS, MO"
653,LOUISVILLE-KY,"LOUISVILLE, KY"
654,ALEGRES-,ALEGRES-
655,CASALECCHIO,CASALECCHIO
656,PUEBLO-CO,"PUEBLO, CO"
657,ELISABET,ELISABET
658,BATAVIA,BATAVIA
659,NEW-MEXICO,NEW MEXICO
660,HATTFORD-CT,"HATTFORD, CT"
661,BIRMINGHAM,BIRMINGHAM
662,S.ANTONIO-TX,"SAN ANTONIO, TX"
663,SALIMANCA,SALIMANCA
664,HOUSTON TX,"HOUSTON, TX"
665,ELIZABETH-NY,"ELIZABETH, NY"
666,OXFORD WY,"OXFORD, WY"
667,MILTON,MILTON
668,WESTER PA,"WESTER, PA"
669,PUNXATAWNEY PA.,"PUNXATAWNEY, PA"
670,LAURENCE,LAURENCE
671,BRADFORD PA,"BRADFORD, PA"
672,GREIGSVILLE,GREIGSVILLE
673,KENNATECK-IN,"KENNATECK, IN"
674,PITTSFIELD MA,"PITTSFIELD, MA"
675,SOUTHAMPTON,SOUTHAMPTON
676,S. JOSE CA,"SAN JOSE, CA"
677,GALVESTON-TX,"GALVESTON, TX"
678,SAN JOSE CA.,"SAN JOSE, CA"
679,NEW-YOTK,NEW YORK
680,BROOKLNN,"BROOKLYN, NY"
681,LAURENCE-MA,"LAURENCE, MA"
682,LAWRENCE,LAWRENCE
683,WILLIAMSPORT,WILLIAMSPORT
684,ROCHESTER-MA,"ROCHESTER, MA"
685,DALLAS-TX,"DALLAS, TX"
686,PALMIERI-N,PALMIERI-N
687,JULIETTE FL,"JULIETTE, FL"
688,COWANSVILLE,COWANSVILLE
689,CLEARFIELD-PA,"CLEARFIELD, PA"
690,LA SALLE IL,"LA SALLE, IL"
691,BETHLEM-PA,"BETHLEM, PA"
692,DELANGES-PA,"DELANGES, PA"
693,WESTFIELD,WESTFIELD
694,CAMDEM,CAMDEM
695,TAMPA  FL,"TAMPA, FL"
696,WAPP. FALLS NY,"WAPP. FALLS, NY"
697,BENIGIS,BENIGIS
698,STOCKTON KS,"STOCKTON, KS"
699,NEW HAVEN CONN.,"NEW HAVEN, CT"
700,DELAWARE,DELAWARE
701,JOUSTON-PA,"JOUSTON, PA"
702,ATTLANTIC CITY,"ATLANTIC CITY, NJ"
703,VIRGINIA,VIRGINIA
704,MONT VERNON,MONT VERNON
705,BAIONNE,BAIONNE
706,HISVILLE PA,"HISVILLE, PA"
707,CHARLEROI PA,"CHARLEROI, PA"
708,NATICK MA,"NATICK, MA"
709,NEW PORT RI,"NEWPORT, RI"
710,ORWEGO,ORWEGO
711,HARRISBURG PA.,"HARRISBURG, PA"
712,MAMARONESH N,MAMARONESH N
713,S.FRANCESCO,"SAN FRANCESCO, CA"
714,SYRACUSE KS,"SYRACUSE, KS"
715,NEW  YORK,NEW YORK
716,AIZAO,AIZAO
717,SIRACUSE,SIRACUSE
718,WATERTOWN MA,"WATERTOWN, MA"
719,SCRANTON,"SCRANTON, PA"
720,NUION VILLE,NUION VILLE
721,CLINTON IN,"CLINTON, IN"
722,BIG SOLDER PA,"BIG SOLDER, PA"
723,BRISTOL,"BRISTOL, CT"
724,GLOCESTER,GLOCESTER
725,CARNEY,CARNEY
726,ORANGE NY,"ORANGE, NY"
727,BETHLEHEM RI,"BETHLEHEM, RI"
728,MA-- CT,MA-- CT
729,BRYAN-BRAZOS-TEXAS,BRYAN-BRAZOS-TEXAS
730,"CORNELLSVILLE,NY","CORNELLSVILLE, NY"
731,MONT-ADAM-MA,"MONT ADAM, MA"
732,MILLWANKE,"MILLWAUKE, WI"
