,DestRaw,Dest
874,BELLETORRE LA,"BELLETORRE, LA"
875,NORTAN,NORTAN
876,MEMPHIS TN,"MEMPHIS, TN"
877,WHITE-CASTLE,WHITE-CASTLE
878,LEROY NY,"LEROY, NY"
879,MEEKSFORT,MEEKSFORT
880,"MORRIS,","MORRIS,"
881,DIED-TRANSIT HOSPITA,DIED-TRANSIT HOSPITA
882,CANEGIE PA,"CANEGIE, PA"
883,AUSONIA-CT,"AUSONIA, CT"
884,MILFARE-MI,"MILFARE,MI"
885,SO BATHLIHAN PA,"SO BATHLIHAN, PA"
886,SPRINGFIELD-IL,"SPRINGFIELD, IL"
887,HAMSTERDAM,HAMSTERDAM
888,WATERLO NY,"WATERLO, NY"
889,GLASGOW,GLASGOW
890,WALSTON-PA,"WALSTON, PA"
891,BRISTOL RI,"BRISTOL, RI"
892,DELONGER,DELONGER
893,LAS VEGAS CA,"LAS VEGAS, CA"
894,MORRISTO,MORRISTO
895,CANDESPORT PA,"CANDESPORT, PA"
896,MC KEESPORT PA,"MC KEESPORT, PA"
897,BELLIGE PA,"BELLIGE, PA"
898,WESTERLEY-PA,"WESTERLEY, PA"
899,PLYMOUTH CENTRE - MA,"PLYMOUTH CENTRE, MA"
900,ALDFORGE,ALDFORGE
901,FAYATE CITY PA,"FAYATE CITY, PA"
902,VINELAND-NJ,"VINELAND, NJ"
903,BROOKLYN-NJ,"BROOKLYN, NJ"
904,BROOOKLYN,"BROOKLYN, NY"
905,B--,B--
906,HOMESTEA,HOMESTEA
907,HOMOSTEA,HOMOSTEA
908,CLEVELAND OK,"CLEVELAND, OK"
909,S ANTONIO,"SAN ANTONIO, TX"
910,MIDDEKEAN,MIDDEKEAN
911,AMATRA,AMATRA
912,PORT-CHESTER,PORT-CHESTER
913,MILFORD PA,"MILFORD, PA"
914,BRADFORD-CT,"BRADFORD, CT"
915,SUSPENSION BRIDGE NY,"SUSPENSION BRIDGE, NY"
916,MOUNT-,MOUNT-
917,MIDLETON CT,"MIDLETON, CT"
918,ST.LOUIS-MA,"ST.LOUIS, MA"
919,NEW  ORLEANS LA,"NEW  ORLEANS, LA"
920,WATERBURG CT,"WATERBURG, CT"
921,SCIACCA,SCIACCA
922,PROVIDENCE MA,"PROVIDENCE, MA"
923,MT MORRIS,MT MORRIS
924,PENSACOLA-FL,"PENSACOLA, FL"
925,SMITHON PA,"SMITHON, PA"
926,NAPOLEONVILL,NAPOLEONVILL
927,JOHNNSTOWN PA,"JOHNNSTOWN, PA"
928,BROOKLYNG,"BROOKLYN, NY"
929,NEW ARK,NEW ARK
930,MADISON NJ,"MADISON, NJ"
931,OKLAHOMA CITY OK.,"OKLAHOMA CITY, OK"
932,ST.JOHN,ST.JOHN
933,CLEVELAND OH.,"CLEVELAND, OH"
934,MERIDEN-CT,"MERIDEN, CT"
935,ST.PAUL-MN,"ST.PAUL, MN"
