,Unnamed: 0,origin_city,origin_country,geocoder_results,origin_lon,origin_lat
191,191,PACHINO,ITALY,"<[OK] Google - Geocode [96018 Pachino, Province of Syracuse, Italy]>",15.0913364,36.7151738
192,192,BUSETO PALIZZOLO,ITALY,"<[OK] Google - Geocode [91012 Buseto Palizzolo, Province of Trapani, Italy]>",12.7169408,38.0021464
193,193,GIARDINELLO,ITALY,"<[OK] Google - Geocode [90040 Giardinello, Province of Palermo, Italy]>",13.157032,38.0885995
194,194,SOLARINO,ITALY,"<[OK] Google - Geocode [96010 Solarino, Province of Syracuse, Italy]>",15.119678,37.10085
195,195,CAPACI,ITALY,"<[OK] Google - Geocode [90040 Capaci, Province of Palermo, Italy]>",13.2392409,38.1713258
196,196,ROCCALUMERA,ITALY,"<[OK] Google - Geocode [98027 Roccalumera, Province of Messina, Italy]>",15.3887085,37.9694618
197,197,NOTO,ITALY,"<[OK] Google - Geocode [96017 Noto, Province of Syracuse, Italy]>",15.0651945,36.8924433
198,198,GALLODORO,ITALY,"<[OK] Google - Geocode [98030 Gallodoro, Province of Messina, Italy]>",15.2937129,37.902003
199,199,ACIREALE,ITALY,"<[OK] Google - Geocode [95024 Acireale, Province of Catania, Italy]>",15.166736,37.607802
200,200,SICULIANA,ITALY,"<[OK] Google - Geocode [92010 Siculiana, AG, Italy]>",13.4216615,37.3354454
201,201,CASSARO,ITALY,"<[OK] Google - Geocode [96010 Cassaro, Province of Syracuse, Italy]>",14.9481305,37.1056179
202,202,ALTAVILLA MILICIA,ITALY,"<[OK] Google - Geocode [90010 Altavilla Milicia, Province of Palermo, Italy]>",13.5476246,38.0393751
203,203,AVOLA,ITALY,"<[OK] Google - Geocode [96012 Avola, Province of Syracuse, Italy]>",15.1348891,36.9095319
204,204,SAN CATALDO,ITALY,"<[OK] Google - Geocode [93017 San Cataldo, Sicily, Province of Caltanissetta, Italy]>",13.9880975,37.4831552
205,205,PALMA DI MONTECHIARO,ITALY,"<[OK] Google - Geocode [92020 Palma di Montechiaro, AG, Italy]>",13.7619472,37.1929277
206,206,MONFORTE SAN GIORGIO,ITALY,"<[OK] Google - Geocode [98041 Monforte San Giorgio, Province of Messina, Italy]>",15.3829141,38.15647920000001
207,207,ANTILLO,ITALY,"<[OK] Google - Geocode [98030 Antillo, Province of Messina, Italy]>",15.2463797,37.9759085
208,208,SAN PIERO PATTI,ITALY,"<[OK] Google - Geocode [98068 San Piero Patti, Province of Messina, Italy]>",14.9505671,38.0574422
209,209,CENTURIPE,ITALY,"<[OK] Google - Geocode [94010 Centuripe, Province of Enna, Italy]>",14.7407541,37.6222297
210,210,SAN FILIPPO DEL MELA,ITALY,"<[OK] Google - Geocode [98044 San Filippo del Mela, Province of Messina, Italy]>",15.2742899,38.1691648
211,211,COMISO,ITALY,"<[OK] Google - Geocode [97013 Comiso, Free municipal consortium of Ragusa, Italy]>",14.577181,36.9361931
212,212,ISOLA DELLE FEMMINE,ITALY,"<[OK] Google - Geocode [90040 Isola delle Femmine, Province of Palermo, Italy]>",13.2493239,38.1985979
213,213,CARLENTINI,ITALY,"<[OK] Google - Geocode [96013 Carlentini, Province of Syracuse, Italy]>",15.014569,37.2698234
214,214,MONTALLEGRO,ITALY,"<[OK] Google - Geocode [92010 Montallegro, AG, Italy]>",13.352953,37.392754
215,215,TORREGROTTA,ITALY,"<[OK] Google - Geocode [98043 Torregrotta, Province of Messina, Italy]>",15.3523175,38.1907143
216,216,GELA,ITALY,"<[OK] Google - Geocode [93012 Gela, Province of Caltanissetta, Italy]>",14.2403537,37.0741526
217,217,SANTA LUCIA DEL MELA,ITALY,"<[OK] Google - Geocode [98046 Santa Lucia del Mela, Province of Messina, Italy]>",15.2807285,38.1421527
218,218,MASCALI,ITALY,"<[OK] Google - Geocode [95016 Mascali, Province of Catania, Italy]>",15.1935143,37.7516509
219,219,MODICA,ITALY,"<[OK] Google - Geocode [97015 Modica, Free municipal consortium of Ragusa, Italy]>",14.7608152,36.8588355
220,220,SAN MARCO D'ALUNZIO,ITALY,"<[OK] Google - Geocode [98070 San Marco d'Alunzio, Province of Messina, Italy]>",14.6979477,38.0737233
221,221,CALTAGIRONE,ITALY,"<[OK] Google - Geocode [95041 Caltagirone, Province of Catania, Italy]>",14.5126066,37.2380929
222,222,PETTINEO,ITALY,"<[OK] Google - Geocode [98070 Pettineo, Province of Messina, Italy]>",14.2914046,37.9680813
223,223,CIANCIANA,ITALY,"<[OK] Google - Geocode [92012 Cianciana, AG, Italy]>",13.4327892,37.5213158
224,224,SANTA TERESA DI RIVA,ITALY,"<[OK] Google - Geocode [98028 Santa Teresa di Riva, Province of Messina, Italy]>",15.357029,37.9548796
225,225,MISTERBIANCO,ITALY,"<[OK] Google - Geocode [95045 Municipality of Misterbianco, Province of Catania, Italy]>",15.0206757,37.5290926
226,226,PANTELLERIA,ITALY,"<[OK] Google - Geocode [Pantelleria, 91017 Pantelleria, Province of Trapani, Italy]>",11.9918779,36.785262
227,227,MALVAGNA,ITALY,"<[OK] Google - Geocode [98030 Malvagna, Province of Messina, Italy]>",15.0557249,37.9180249
228,228,PIANA DEGLI ALBANESI,ITALY,"<[OK] Google - Geocode [90037 Piana degli Albanesi, Province of Palermo, Italy]>",13.2882915,37.9937488
229,229,MASCALUCIA,ITALY,"<[OK] Google - Geocode [95030 Mascalucia, Province of Catania, Italy]>",15.0382076,37.5841225
230,230,ACI CASTELLO,ITALY,"<[OK] Google - Geocode [95021 Aci Castello, Province of Catania, Italy]>",15.1444802,37.5557219
231,231,SAN GIOVANNI GEMINI,ITALY,"<[OK] Google - Geocode [92020 San Giovanni Gemini, AG, Italy]>",13.6478486,37.6151386
232,232,FERLA,ITALY,"<[OK] Google - Geocode [96010 Ferla, Province of Syracuse, Italy]>",14.9330448,37.13794850000001
233,233,SORTINO,ITALY,"<[OK] Google - Geocode [96010 Sortino, Province of Syracuse, Italy]>",15.0277384,37.1579678
234,234,CAMPOBELLO DI LICATA,ITALY,"<[OK] Google - Geocode [92023 Campobello di Licata, AG, Italy]>",13.917697,37.2588435
235,235,DELIA,ITALY,"<[OK] Google - Geocode [93010 Delia, Province of Caltanissetta, Italy]>",13.926812,37.356288
236,236,ACI CATENA,ITALY,"<[OK] Google - Geocode [95022 Aci Catena, Province of Catania, Italy]>",15.1419245,37.6064346
237,237,BELPASSO,ITALY,"<[OK] Google - Geocode [95032 Belpasso, Province of Catania, Italy]>",14.9768276,37.5898196
238,238,ISPICA,ITALY,"<[OK] Google - Geocode [97014 Ispica, Free municipal consortium of Ragusa, Italy]>",14.9101565,36.788137
239,239,MILITELLO ROSMARINO,ITALY,"<[OK] Google - Geocode [98070 Militello Rosmarino, Province of Messina, Italy]>",14.6759066,38.04545969999999
240,240,SUTERA,ITALY,"<[OK] Google - Geocode [93010 Sutera, Province of Caltanissetta, Italy]>",13.7355354,37.5208495
241,241,BUCCHERI,ITALY,"<[OK] Google - Geocode [96010 Buccheri, Province of Syracuse, Italy]>",14.8481113,37.1269486
