,DestRaw,Dest,geocoder_results,bbox,latlong
79,IRON-MOUNTAIN,IRON-MOUNTAIN,"<[OK] Google - Geocode [5443 S 108th E Ave # 100, Tulsa, OK 74146, USA]>","{'northeast': [36.0870070802915, -95.85462991970849], 'southwest': [36.0843091197085, -95.8573278802915]}","[36.0856581, -95.8559789]"
80,MAFIELD,MAFIELD,<[OK] Google - Geocode #10 results>,"{'northeast': [40.6762789802915, -73.9553447197085], 'southwest': [40.6735810197085, -73.95804268029151]}","[40.67493, -73.9566937]"
81,PENNSYLVANIA,PENNSYLVANIA,"<[OK] Google - Geocode [Pennsylvania, USA]>","{'northeast': [42.5141658, -74.6895018], 'southwest': [39.7197989, -80.51989499999999]}","[41.2033216, -77.1945247]"
82,LAURENCE MA,"LAURENCE, MA","<[OK] Google - Geocode [Lawrence, MA, USA]>","{'northeast': [42.7232969, -71.133584], 'southwest': [42.67586499999999, -71.190997]}","[42.7070354, -71.1631137]"
83,FL,FL,"<[OK] Google - Geocode [Florida, USA]>","{'northeast': [32.3607674, -77.8049338], 'southwest': [22.8285924, -89.8042682]}","[27.6648274, -81.5157535]"
84,TRINIDAD-CO,"TRINIDAD, CO","<[OK] Google - Geocode [Trinidad, CO 81082, USA]>","{'northeast': [37.2253289, -104.4349379], 'southwest': [37.134384, -104.531994]}","[37.1694632, -104.5005407]"
85,NEWARK NJ,"NEWARK, NJ","<[OK] Google - Geocode [Newark, NJ, USA]>","{'northeast': [40.788664, -74.1127869], 'southwest': [40.6739029, -74.2513239]}","[40.735657, -74.1723667]"
86,SYRACUSE NY,"SYRACUSE, NY","<[OK] Google - Geocode [Syracuse, NY, USA]>","{'northeast': [43.0861018, -76.0740841], 'southwest': [42.984366, -76.20447600000001]}","[43.0481221, -76.14742439999999]"
87,PHILADELPHIA PA.,"PHILADELPHIA, PA","<[OK] Google - Geocode [Philadelphia, PA, USA]>","{'northeast': [40.1379919, -74.9557629], 'southwest': [39.8670041, -75.2802937]}","[39.9525839, -75.1652215]"
88,JERSEY CITY,"JERSEY CITY, NJ","<[OK] Google - Geocode [Jersey City, NJ, USA]>","{'northeast': [40.768867, -74.020405], 'southwest': [40.661622, -74.1170569]}","[40.7177545, -74.0431435]"
89,S.LOUIS,"ST. LOUIS, MO","<[OK] Google - Geocode [St. Louis, MO, USA]>","{'northeast': [38.774349, -90.166409], 'southwest': [38.5318519, -90.320515]}","[38.6270025, -90.19940419999999]"
90,ROCK GLEN WY,"ROCK GLEN, WY",<[OK] Google - Geocode #4 results>,"{'northeast': [32.8503352802915, -116.9885726197085], 'southwest': [32.8476373197085, -116.9912705802915]}","[32.8491307, -116.989558]"
91,ST.LOUIS,"ST. LOUIS, MO","<[OK] Google - Geocode [St. Louis, MO, USA]>","{'northeast': [38.774349, -90.166409], 'southwest': [38.5318519, -90.320515]}","[38.6270025, -90.19940419999999]"
92,NEW-HAVEN,"NEW HAVEN, CT","<[OK] Google - Geocode [New Haven, CT, USA]>","{'northeast': [41.35038, -72.8601438], 'southwest': [41.2461968, -72.998048]}","[41.308274, -72.9278835]"
93,ERIE,ERIE,"<[OK] Google - Geocode [Erie, PA, USA]>","{'northeast': [42.153531, -80.003376], 'southwest': [42.077238, -80.13851799999999]}","[42.12922409999999, -80.085059]"
94,SIRACUSA NY,"SYRACUSE, NY","<[OK] Google - Geocode [Syracuse, NY, USA]>","{'northeast': [43.0861018, -76.0740841], 'southwest': [42.984366, -76.20447600000001]}","[43.0481221, -76.14742439999999]"
95,JEFFERSON,JEFFERSON,"<[OK] Google - Geocode [Jefferson, WI 53549, USA]>","{'northeast': [43.028336, -88.77636190000001], 'southwest': [42.9838029, -88.8350289]}","[43.0055594, -88.8073273]"
96,"BROOKLYN, NY","BROOKLYN, NY","<[OK] Google - Geocode [Brooklyn, NY, USA]>","{'northeast': [40.739446, -73.8333651], 'southwest': [40.551042, -74.05663]}","[40.6781784, -73.9441579]"
97,MIDDLETOWN-CT,"MIDDLETOWN, CT","<[OK] Google - Geocode [Middletown, CT, USA]>","{'northeast': [41.6043499, -72.55094489999999], 'southwest': [41.495045, -72.7546402]}","[41.5623209, -72.6506488]"
98,HARTFORD CT,"HARTFORD, CT","<[OK] Google - Geocode [Hartford, CT, USA]>","{'northeast': [41.807575, -72.6425359], 'southwest': [41.7237999, -72.717638]}","[41.7658043, -72.6733723]"
99,SAN FRANCISCO CA,"SAN FRANCISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","{'northeast': [37.812, -122.3482], 'southwest': [37.70339999999999, -122.527]}","[37.7749295, -122.4194155]"
100,HOBOKEN NJ,"HOBOKEN, NJ","<[OK] Google - Geocode [Hoboken, NJ, USA]>","{'northeast': [40.7590989, -74.0137841], 'southwest': [40.7303209, -74.044117]}","[40.7439905, -74.0323626]"
101,OREGON,OREGON,"<[OK] Google - Geocode [Oregon, USA]>","{'northeast': [46.299099, -116.463262], 'southwest': [41.9917941, -124.7035411]}","[43.8041334, -120.5542012]"
102,W.HOBOKEN NJ,"W. HOBOKEN, NJ","<[OK] Google - Geocode [225 River St, Hoboken, NJ 07030, USA]>","{'northeast': [40.7407364802915, -74.02666821970848], 'southwest': [40.7380385197085, -74.0293661802915]}","[40.7393875, -74.0280172]"
103,BROOKLYN-NY,"BROOKLYN, NY","<[OK] Google - Geocode [Brooklyn, NY, USA]>","{'northeast': [40.739446, -73.8333651], 'southwest': [40.551042, -74.05663]}","[40.6781784, -73.9441579]"
