,DestRaw,Dest,geocoder_results,bbox,latlong
178,TRENTON-PA,"TRENTON, PA","<[OK] Google - Geocode [Trenton, PA 17948, USA]>","{'northeast': [40.8465843, -76.07448110000001], 'southwest': [40.829701, -76.1064959]}","[40.8381432, -76.09048849999999]"
179,MARYLAND,MARYLAND,"<[OK] Google - Geocode [Maryland, USA]>","{'northeast': [39.723037, -74.9862819], 'southwest': [37.8866049, -79.4876511]}","[39.0457549, -76.64127119999999]"
180,TRENTON,TRENTON,"<[OK] Google - Geocode [Trenton, NJ, USA]>","{'northeast': [40.248298, -74.728904], 'southwest': [40.183809, -74.819507]}","[40.2205824, -74.759717]"
181,FORT WORTH,"FORT WORTH, TX","<[OK] Google - Geocode [Fort Worth, TX, USA]>","{'northeast': [33.0493109, -97.033715], 'southwest': [32.552315, -97.54492289999999]}","[32.7554883, -97.3307658]"
182,MONTREAL CAN,"MONTREAL, CANADA","<[OK] Google - Geocode [Montreal, QC, Canada]>","{'northeast': [45.7058381, -73.47426], 'southwest': [45.410246, -73.986345]}","[45.5016889, -73.567256]"
183,SYRACUSA,SYRACUSA,"<[OK] Google - Geocode [96100 Syracuse, Province of Syracuse, Italy]>","{'northeast': [37.1056629, 15.3012622], 'southwest': [37.0526348, 15.2405306]}","[37.0754739, 15.2865861]"
184,WY,WY,"<[OK] Google - Geocode [Wyoming, USA]>","{'northeast': [45.005904, -104.0522449], 'southwest': [40.994746, -111.056889]}","[43.0759678, -107.2902839]"
185,MI,MI,<[OK] Google - Geocode [United States]>,"{'northeast': [49.38, -66.94], 'southwest': [25.82, -124.39]}","[37.09024, -95.712891]"
186,YOUNGSTOWN OH,"YOUNGSTOWN, OH","<[OK] Google - Geocode [Youngstown, OH, USA]>","{'northeast': [41.1390129, -80.567932], 'southwest': [41.04995110000001, -80.711162]}","[41.0997803, -80.6495194]"
187,PLYMOUTH MA,"PLYMOUTH, MA","<[OK] Google - Geocode [Plymouth, MA, USA]>","{'northeast': [42.01367700000001, -70.516363], 'southwest': [41.7628209, -70.753351]}","[41.9584457, -70.6672621]"
188,RANKIN PA,"RANKIN, PA","<[OK] Google - Geocode [Rankin, PA, USA]>","{'northeast': [40.41676890000001, -79.870971], 'southwest': [40.4043688, -79.8905711]}","[40.412569, -79.879216]"
189,NEW CASTLE PA,"NEW CASTLE, PA","<[OK] Google - Geocode [New Castle, PA, USA]>","{'northeast': [41.0279401, -80.315743], 'southwest': [40.957895, -80.397701]}","[41.0036719, -80.34700900000001]"
190,BROOCKLYN NY,"BROOKLYN, NY","<[OK] Google - Geocode [Brooklyn, NY, USA]>","{'northeast': [40.739446, -73.8333651], 'southwest': [40.551042, -74.05663]}","[40.6781784, -73.9441579]"
191,WILLIAMPORT PA,"WILLIAMPORT, PA","<[OK] Google - Geocode [Williamsport, PA, USA]>","{'northeast': [41.2642699, -76.981545], 'southwest': [41.2180199, -77.09556599999999]}","[41.2411897, -77.00107860000001]"
192,PITTSBURGH-PA,"PITTSBURGH, PA","<[OK] Google - Geocode [Pittsburgh, PA, USA]>","{'northeast': [40.501368, -79.8657231], 'southwest': [40.3613689, -80.0952779]}","[40.44062479999999, -79.9958864]"
193,HOBOKEN,"HOBOKEN, NJ","<[OK] Google - Geocode [Hoboken, NJ, USA]>","{'northeast': [40.7590989, -74.0137841], 'southwest': [40.7303209, -74.044117]}","[40.7439905, -74.0323626]"
194,GALLIPOLIS PA,"GALLIPOLIS, PA","<[OK] Google - Geocode [100 Jackson Pike, Gallipolis, OH 45631, USA]>","{'northeast': [38.84811078029149, -82.23641681970848], 'southwest': [38.84541281970849, -82.23911478029149]}","[38.8467618, -82.23776579999999]"
195,DELANO CA,"DELANO, CA","<[OK] Google - Geocode [Delano, CA, USA]>","{'northeast': [35.790503, -119.205394], 'southwest': [35.71789589999999, -119.333829]}","[35.7688425, -119.2470536]"
196,TAMPA FL,"TAMPA, FL","<[OK] Google - Geocode [Tampa, FL, USA]>","{'northeast': [28.1714781, -82.2597409], 'southwest': [27.817487, -82.64882]}","[27.950575, -82.4571776]"
197,NICOSIA,NICOSIA,"<[OK] Google - Geocode [Nicosia, Cyprus]>","{'northeast': [35.2323172, 33.4762967], 'southwest': [35.1521879, 33.3185077]}","[35.1855659, 33.38227639999999]"
198,ILLINOIS,ILLINOIS,"<[OK] Google - Geocode [Illinois, USA]>","{'northeast': [42.5083379, -87.01993499999999], 'southwest': [36.970298, -91.5130789]}","[40.6331249, -89.3985283]"
199,HILLSVILLE,HILLSVILLE,"<[OK] Google - Geocode [Hillsville, VA 24343, USA]>","{'northeast': [36.7898409, -80.6911799], 'southwest': [36.7347361, -80.764585]}","[36.7626282, -80.7347947]"
200,PLAQUEMINES,PLAQUEMINES,"<[OK] Google - Geocode [Plaquemines Parish, LA, USA]>","{'northeast': [29.905004, -88.879235], 'southwest': [28.8551271, -90.07568309999999]}","[29.3240045, -89.4742177]"
201,MONTANA,MONTANA,"<[OK] Google - Geocode [Montana, USA]>","{'northeast': [49.0011117, -104.039563], 'southwest': [44.3582089, -116.050003]}","[46.8796822, -110.3625658]"
202,DELANGEY-PA,"DELANGEY, PA","<[OK] Google - Geocode [626 Water St, Indiana, PA 15701, USA]>","{'northeast': [40.62556358029149, -79.15042051970849], 'southwest': [40.6228656197085, -79.15311848029151]}","[40.62421459999999, -79.1517695]"
203,NOUSTANA,NOUSTANA,<[ZERO_RESULTS] Google - Geocode [empty]>,,
204,ELMIRA,"ELMIRA, NY","<[OK] Google - Geocode [Elmira, NY, USA]>","{'northeast': [42.120203, -76.77671099999999], 'southwest': [42.064651, -76.842274]}","[42.0897965, -76.8077338]"
205,IOHUNSTOWN,IOHUNSTOWN,"<[OK] Google - Geocode [Johnstown, PA, USA]>","{'northeast': [40.36421199999999, -78.8820461], 'southwest': [40.2896741, -78.955348]}","[40.32674069999999, -78.9219698]"
206,ELMIRA-NY,"ELMIRA, NY","<[OK] Google - Geocode [Elmira, NY, USA]>","{'northeast': [42.120203, -76.77671099999999], 'southwest': [42.064651, -76.842274]}","[42.0897965, -76.8077338]"
207,DUMBAR,DUMBAR,<[ZERO_RESULTS] Google - Geocode [empty]>,,
208,NEW-LONDON,NEW LONDON,"<[OK] Google - Geocode [New London, CT, USA]>","{'northeast': [41.386998, -72.0551189], 'southwest': [41.2764979, -72.12853009999999]}","[41.3556539, -72.0995209]"
209,WESTERLY-RI,"WESTERLY, RI","<[OK] Google - Geocode [Westerly, RI, USA]>","{'northeast': [41.4198498, -71.72922779999999], 'southwest': [41.1841011, -71.90725809999999]}","[41.3775987, -71.82728709999999]"
210,SAN JOSE - CA,"SAN JOSE, CA","<[OK] Google - Geocode [San Jose, CA, USA]>","{'northeast': [37.4692304, -121.589154], 'southwest': [37.124493, -122.0456719]}","[37.3382082, -121.8863286]"
211,LOS ANGELES,"LOS ANGELES, CA","<[OK] Google - Geocode [Los Angeles, CA, USA]>","{'northeast': [34.3373061, -118.1552891], 'southwest': [33.7036519, -118.6681759]}","[34.0522342, -118.2436849]"
212,S LOUIS MO,"ST. LOUIS, MO","<[OK] Google - Geocode [St. Louis, MO, USA]>","{'northeast': [38.774349, -90.166409], 'southwest': [38.5318519, -90.320515]}","[38.6270025, -90.19940419999999]"
213,S.LOUIS MO,"ST. LOUIS, MO","<[OK] Google - Geocode [St. Louis, MO, USA]>","{'northeast': [38.774349, -90.166409], 'southwest': [38.5318519, -90.320515]}","[38.6270025, -90.19940419999999]"
214,S LOUIS,"ST. LOUIS, MO","<[OK] Google - Geocode [St. Louis, MO, USA]>","{'northeast': [38.774349, -90.166409], 'southwest': [38.5318519, -90.320515]}","[38.6270025, -90.19940419999999]"
215,ST LOUIS MO,"ST. LOUIS, MO","<[OK] Google - Geocode [St. Louis, MO, USA]>","{'northeast': [38.774349, -90.166409], 'southwest': [38.5318519, -90.320515]}","[38.6270025, -90.19940419999999]"
216,NAUSTAN-DIED,NAUSTAN-DIED,<[ZERO_RESULTS] Google - Geocode [empty]>,,
217,PATERSON,PATERSON,"<[OK] Google - Geocode [Paterson, NJ, USA]>","{'northeast': [40.94159, -74.129233], 'southwest': [40.8886819, -74.2061969]}","[40.9167654, -74.17181099999999]"
218,NORRISTON PA,"NORRISTON, PA","<[OK] Google - Geocode [Norristown, PA, USA]>","{'northeast': [40.1413069, -75.3163249], 'southwest': [40.1052509, -75.3648281]}","[40.121497, -75.3399048]"
219,NORRISTOPWN-PA,"NORRISTON, PA","<[OK] Google - Geocode [Norristown, PA, USA]>","{'northeast': [40.1413069, -75.3163249], 'southwest': [40.1052509, -75.3648281]}","[40.121497, -75.3399048]"
220,NAUSTAN,NAUSTAN,"<[OK] Google - Geocode [Naustan, Malvik, Norway]>","{'northeast': [63.4410118, 10.6622228], 'southwest': [63.4374823, 10.6491045]}","[63.4383689, 10.6530303]"
221,WILMINGTON,WILMINGTON,"<[OK] Google - Geocode [Wilmington, NC, USA]>","{'northeast': [34.2670259, -77.7868489], 'southwest': [34.1472459, -77.95729109999999]}","[34.2103894, -77.8868117]"
222,GALVESTON,GALVESTON,"<[OK] Google - Geocode [Galveston, TX, USA]>","{'northeast': [29.3993991, -94.623898], 'southwest': [29.067156, -95.12272980000002]}","[29.3013479, -94.7976958]"
223,NJ,NJ,"<[OK] Google - Geocode [New Jersey, USA]>","{'northeast': [41.357423, -73.88506], 'southwest': [38.788657, -75.5635861]}","[40.0583238, -74.4056612]"
224,BRIDGEPORT,"BRIDGEPORT, CT","<[OK] Google - Geocode [Bridgeport, CT, USA]>","{'northeast': [41.22959600000001, -73.1538539], 'southwest': [41.139896, -73.2441589]}","[41.1792258, -73.1894384]"
225,BRIDGEPORT CT,"BRIDGEPORT, CT","<[OK] Google - Geocode [Bridgeport, CT, USA]>","{'northeast': [41.22959600000001, -73.1538539], 'southwest': [41.139896, -73.2441589]}","[41.1792258, -73.1894384]"
226,MILWAUKEE,"MILWAUKEE, WI","<[OK] Google - Geocode [Milwaukee, WI, USA]>","{'northeast': [43.1949671, -87.8639841], 'southwest': [42.9208158, -88.070876]}","[43.0389025, -87.9064736]"
227,MILFORD MA,"MILFORD, MA","<[OK] Google - Geocode [Milford, MA, USA]>","{'northeast': [42.191289, -71.47774290000001], 'southwest': [42.116807, -71.5644059]}","[42.1398577, -71.5163049]"
228,NICORRI--,NICORRI--,"<[OK] Google - Geocode [240 Belleville Ave, Bloomfield, NJ 07003, USA]>","{'northeast': [40.8004805802915, -74.1891139197085], 'southwest': [40.7977826197085, -74.19181188029151]}","[40.7991316, -74.1904629]"
229,CHARLEROI,CHARLEROI,"<[OK] Google - Geocode [Charleroi, Belgium]>","{'northeast': [50.4929701, 4.5074999], 'southwest': [50.3529, 4.34772]}","[50.4108095, 4.444643]"
230,HOUSTON,"HOUSTON, TX","<[OK] Google - Geocode [Houston, TX, USA]>","{'northeast': [30.1107319, -95.014496], 'southwest': [29.523624, -95.78808690000001]}","[29.7604267, -95.3698028]"
231,NEW YOK,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","{'northeast': [40.9175771, -73.70027209999999], 'southwest': [40.4773991, -74.25908989999999]}","[40.7127753, -74.0059728]"
232,JOHNGSTON,JOHNGSTON,<[OK] Google - Geocode #2 results>,"{'northeast': [41.731957, -93.6656189], 'southwest': [41.6520619, -93.7655511]}","[41.6709834, -93.7130493]"
233,ATLANTA GA,"ATLANTA, GA","<[OK] Google - Geocode [Atlanta, GA, USA]>","{'northeast': [33.8876179, -84.289389], 'southwest': [33.6478079, -84.5518189]}","[33.7489954, -84.3879824]"
234,0,0,<[OK] Google - Geocode #2 results>,"{'northeast': [36.16428328029149, -95.98995861970849], 'southwest': [36.16158531970849, -95.99265658029151]}","[36.1629343, -95.9913076]"
235,MILFORD MAS,"MILFORD, MA","<[OK] Google - Geocode [Milford, MA, USA]>","{'northeast': [42.191289, -71.47774290000001], 'southwest': [42.116807, -71.5644059]}","[42.1398577, -71.5163049]"
236,GREENSBURG-PA,"GREENSBURG, PA","<[OK] Google - Geocode [Greensburg, PA 15601, USA]>","{'northeast': [40.3427239, -79.521457], 'southwest': [40.2851731, -79.5755709]}","[40.3014581, -79.5389289]"
237,WALSTON,WALSTON,"<[OK] Google - Geocode [4148 East Faries Parkway, Decatur, IL 62526, USA]>","{'northeast': [39.8653556802915, -88.8922174197085], 'southwest': [39.8626577197085, -88.89491538029151]}","[39.8640067, -88.8935664]"
238,PITTSBURG-PA,"PITTSBURG, PA","<[OK] Google - Geocode [Pittsburgh, PA, USA]>","{'northeast': [40.501368, -79.8657231], 'southwest': [40.3613689, -80.0952779]}","[40.44062479999999, -79.9958864]"
239,MIAMISBURG-OH,"MIAMISBURG, OH","<[OK] Google - Geocode [Miamisburg, OH, USA]>","{'northeast': [39.661568, -84.21510099999999], 'southwest': [39.5966479, -84.327636]}","[39.6428362, -84.2866083]"
240,JOHNSTON,JOHNSTON,<[OK] Google - Geocode #2 results>,"{'northeast': [41.731957, -93.6656189], 'southwest': [41.6520619, -93.7655511]}","[41.6709834, -93.7130493]"
241,YOUNGSTOWN,"YOUNGSTOWN, OH","<[OK] Google - Geocode [Youngstown, OH, USA]>","{'northeast': [41.1390129, -80.567932], 'southwest': [41.04995110000001, -80.711162]}","[41.0997803, -80.6495194]"
242,HILLSVILLE PA,"HILLSVILLE, PA","<[OK] Google - Geocode [Hillsville, PA 16116, USA]>","{'northeast': [41.0162573, -80.48072789999999], 'southwest': [40.9994172, -80.51274269999999]}","[41.0078378, -80.4967353]"
243,LANDVILLE OHIO,"LANDVILLE, OH","<[OK] Google - Geocode [5131 Drinkle Rd SW, Amanda, OH 43102, USA]>","{'northeast': [39.58597098029151, -82.71397761970849], 'southwest': [39.58327301970851, -82.71667558029151]}","[39.584622, -82.7153266]"
244,MASSACHUSETTS,MASSACHUSETTS,"<[OK] Google - Geocode [Massachusetts, USA]>","{'northeast': [42.88679, -69.85886099999999], 'southwest': [41.18705300000001, -73.5081419]}","[42.4072107, -71.3824374]"
245,PATERSON PA,"PATERSON, PA","<[OK] Google - Geocode [Paterson, NJ, USA]>","{'northeast': [40.94159, -74.129233], 'southwest': [40.8886819, -74.2061969]}","[40.9167654, -74.17181099999999]"
246,WHITE PLAINS NY,"WHITE PLAINS, NY","<[OK] Google - Geocode [White Plains, NY, USA]>","{'northeast': [41.0698349, -73.71952399999999], 'southwest': [40.982445, -73.78984779999999]}","[41.03398620000001, -73.7629097]"
247,WALSTON PA.,"WALSTON, PA","<[OK] Google - Geocode [Walston, PA 15781, USA]>","{'northeast': [40.9734894, -78.97874879999999], 'southwest': [40.9566384, -79.01076359999999]}","[40.9650644, -78.9947562]"
248,SAN JOSE CA,"SAN JOSE, CA","<[OK] Google - Geocode [San Jose, CA, USA]>","{'northeast': [37.4692304, -121.589154], 'southwest': [37.124493, -122.0456719]}","[37.3382082, -121.8863286]"
249,WASINGTON DC,"WASINGTON, DC","<[OK] Google - Geocode [Washington, DC, USA]>","{'northeast': [38.995548, -76.909393], 'southwest': [38.7916449, -77.119759]}","[38.9071923, -77.0368707]"
250,EMILTON-PA,"EMILTON, PA","<[OK] Google - Geocode [Emlenton, PA 16373, USA]>","{'northeast': [41.187556, -79.69338], 'southwest': [41.173141, -79.7221528]}","[41.1772836, -79.7078274]"
251,HARTFORD,"HARTFORD, CT","<[OK] Google - Geocode [Hartford, CT, USA]>","{'northeast': [41.807575, -72.6425359], 'southwest': [41.7237999, -72.717638]}","[41.7658043, -72.6733723]"
252,ELIZABETH-NJ,"ELIZABETH, NJ","<[OK] Google - Geocode [Elizabeth, NJ, USA]>","{'northeast': [40.690428, -74.13670309999999], 'southwest': [40.63263, -74.2542161]}","[40.6639916, -74.2107006]"
253,DELANGER PA,"DELANGER, PA","<[OK] Google - Geocode [Pennsylvania, USA]>","{'northeast': [42.5141658, -74.6895018], 'southwest': [39.7197989, -80.51989499999999]}","[41.2033216, -77.1945247]"
254,JOHNSTOWN PA,"JOHNSTOWN, PA","<[OK] Google - Geocode [Johnstown, PA, USA]>","{'northeast': [40.36421199999999, -78.8820461], 'southwest': [40.2896741, -78.955348]}","[40.32674069999999, -78.9219698]"
255,JONGSTON,JONGSTON,<[ZERO_RESULTS] Google - Geocode [empty]>,,
256,SOLDIER-PA,"SOLDIER, PA","<[OK] Google - Geocode [Soldier, Winslow Township, PA 15851, USA]>","{'northeast': [41.070975, -78.82791329999999], 'southwest': [41.0541489, -78.85992809999999]}","[41.0625625, -78.8439207]"
257,DELAMER-PA,"DELAMER, PA","<[OK] Google - Geocode [Pennsylvania, USA]>","{'northeast': [42.5141658, -74.6895018], 'southwest': [39.7197989, -80.51989499999999]}","[41.2033216, -77.1945247]"
258,SELSVILLE PA,"SELSVILLE, PA","<[OK] Google - Geocode [Sellersville, PA 18960, USA]>","{'northeast': [40.3696169, -75.294612], 'southwest': [40.3489869, -75.32201479999999]}","[40.3539926, -75.3048982]"
259,OSWEGO NY,"OSWEGO, NY","<[OK] Google - Geocode [Oswego, NY, USA]>","{'northeast': [43.49272209999999, -76.4693199], 'southwest': [43.4280909, -76.539377]}","[43.4553461, -76.5104973]"
260,CARLERON MAS,"CARLERON, MA","<[OK] Google - Geocode [2055 Columbus Ave, Roxbury, MA 02119, USA]>","{'northeast': [42.3145147802915, -71.0946681197085], 'southwest': [42.3118168197085, -71.09736608029151]}","[42.3131658, -71.0960171]"
261,FRISCO-CA,"FRISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","{'northeast': [37.812, -122.3482], 'southwest': [37.70339999999999, -122.527]}","[37.7749295, -122.4194155]"
262,PITTSBURGH PA.,"PITTSBURGH, PA","<[OK] Google - Geocode [Pittsburgh, PA, USA]>","{'northeast': [40.501368, -79.8657231], 'southwest': [40.3613689, -80.0952779]}","[40.44062479999999, -79.9958864]"
263,TRINIDAD,TRINIDAD,<[OK] Google - Geocode [Trinidad and Tobago]>,"{'northeast': [11.4004, -60.45089989999999], 'southwest': [9.9930001, -61.9725001]}","[10.691803, -61.222503]"
264,MIDLETOWN,MIDLETOWN,"<[OK] Google - Geocode [Middletown, CT, USA]>","{'northeast': [41.6043499, -72.55094489999999], 'southwest': [41.495045, -72.7546402]}","[41.5623209, -72.6506488]"
265,HOMOSTEAD PA,"HOMOSTEAD, PA","<[OK] Google - Geocode [Homestead, PA 15120, USA]>","{'northeast': [40.4159689, -79.8999719], 'southwest': [40.3985689, -79.9191721]}","[40.4059025, -79.9119948]"
266,S.FRANCISCO,"SAN FRANCISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","{'northeast': [37.812, -122.3482], 'southwest': [37.70339999999999, -122.527]}","[37.7749295, -122.4194155]"
267,ALTONA PA,"ALTONA, PA","<[OK] Google - Geocode [Altoona, PA, USA]>","{'northeast': [40.554868, -78.3647349], 'southwest': [40.46597089999999, -78.4328361]}","[40.5186809, -78.3947359]"
268,DUNKIRK,DUNKIRK,<[OK] Google - Geocode #10 results>,"{'northeast': [42.5043489, -79.30887700000001], 'southwest': [42.456911, -79.3633601]}","[42.4795019, -79.3339324]"
269,NEWPORT,NEWPORT,"<[OK] Google - Geocode [Newport, RI, USA]>","{'northeast': [41.523208, -71.28589199999999], 'southwest': [41.448967, -71.3634478]}","[41.4901024, -71.3128285]"
270,WESTERLY,WESTERLY,"<[OK] Google - Geocode [Westerly, RI, USA]>","{'northeast': [41.4198498, -71.72922779999999], 'southwest': [41.1841011, -71.90725809999999]}","[41.3775987, -71.82728709999999]"
271,WESTERLY RI,"WESTERLY, RI","<[OK] Google - Geocode [Westerly, RI, USA]>","{'northeast': [41.4198498, -71.72922779999999], 'southwest': [41.1841011, -71.90725809999999]}","[41.3775987, -71.82728709999999]"
272,DENVER CO,"DENVER, CO","<[OK] Google - Geocode [Denver, CO, USA]>","{'northeast': [39.91424689999999, -104.6002959], 'southwest': [39.614431, -105.109927]}","[39.7392358, -104.990251]"
273,VINELAND,VINELAND,"<[OK] Google - Geocode [Vineland, NJ, USA]>","{'northeast': [39.568643, -74.896626], 'southwest': [39.3777149, -75.0871289]}","[39.4863773, -75.02596369999999]"
274,HABOKEN NJ,"HABOKEN, NJ","<[OK] Google - Geocode [Hoboken, NJ, USA]>","{'northeast': [40.7590989, -74.0137841], 'southwest': [40.7303209, -74.044117]}","[40.7439905, -74.0323626]"
275,GENEVA-NY,"GENEVA, NY","<[OK] Google - Geocode [Geneva, NY 14456, USA]>","{'northeast': [42.89046, -76.963263], 'southwest': [42.8378389, -77.0112639]}","[42.8679836, -76.985557]"
276,BRAN,BRAN,"<[OK] Google - Geocode [15 W Main St, Mooresville, IN 46158, USA]>","{'northeast': [39.6139351802915, -86.37415911970848], 'southwest': [39.6112372197085, -86.3768570802915]}","[39.6125862, -86.37550809999999]"
277,BAYON,BAYON,"<[OK] Google - Geocode [Angkor Thom Angkor Archeological Park, Krong Siem Reap, Krong Siem Reap 17000, Cambodia]>","{'northeast': [13.4425250802915, 103.8601917802915], 'southwest': [13.4398271197085, 103.8574938197085]}","[13.4411761, 103.8588428]"
278,NEW YORK CITY,"NEW YORK, NY","<[OK] Google - Geocode [New York, NY, USA]>","{'northeast': [40.9175771, -73.70027209999999], 'southwest': [40.4773991, -74.25908989999999]}","[40.7127753, -74.0059728]"
279,NEW-OLEANS,"NEW ORLEANS, LA","<[OK] Google - Geocode [New Orleans, LA, USA]>","{'northeast': [30.199332, -89.625053], 'southwest': [29.8666609, -90.14007389999999]}","[29.95106579999999, -90.0715323]"
280,WEST-HOBOKEN,"WEST HOBOKEN, NJ","<[OK] Google - Geocode [Hoboken, NJ, USA]>","{'northeast': [40.7590989, -74.0137841], 'southwest': [40.7303209, -74.044117]}","[40.7439905, -74.0323626]"
281,SAINT LOUIS MN,SAINT LOUIS MN,"<[OK] Google - Geocode [St Louis County, MN, USA]>","{'northeast': [48.6314931, -91.7879279], 'southwest': [46.6492409, -93.0976659]}","[47.7395106, -92.3623921]"
282,TOLUCA IL,"TOLUCA, IL","<[OK] Google - Geocode [Toluca, IL 61369, USA]>","{'northeast': [41.022228, -89.12318499999999], 'southwest': [40.9920479, -89.143834]}","[41.0022556, -89.133416]"
283,JERSEY,JERSEY,<[OK] Google - Geocode [Jersey]>,"{'northeast': [49.26650009999999, -2.0013001], 'southwest': [49.1582, -2.2602001]}","[49.214439, -2.13125]"
284,MILWAKEE WI,"MILWAKEE, WI","<[OK] Google - Geocode [Milwaukee, WI, USA]>","{'northeast': [43.1949671, -87.8639841], 'southwest': [42.9208158, -88.070876]}","[43.0389025, -87.9064736]"
285,SYRACUSE-NY,"SYRACUSE, NY","<[OK] Google - Geocode [Syracuse, NY, USA]>","{'northeast': [43.0861018, -76.0740841], 'southwest': [42.984366, -76.20447600000001]}","[43.0481221, -76.14742439999999]"
286,ALBANY,"ALBANY, NY","<[OK] Google - Geocode [Albany, NY, USA]>","{'northeast': [42.7223788, -73.723263], 'southwest': [42.61379, -73.898099]}","[42.6525793, -73.7562317]"
287,DE LANG PA,"DE LANG, PA","<[OK] Google - Geocode [5100 N 12th Ave Suite 101, Pensacola, FL 32504, USA]>","{'northeast': [30.4763746802915, -87.19682261970851], 'southwest': [30.4736767197085, -87.19952058029152]}","[30.4750257, -87.19817160000001]"
288,BOSCHIRE,BOSCHIRE,<[ZERO_RESULTS] Google - Geocode [empty]>,,
289,HARTFORT,HARTFORT,"<[OK] Google - Geocode [Hartford, CT, USA]>","{'northeast': [41.807575, -72.6425359], 'southwest': [41.7237999, -72.717638]}","[41.7658043, -72.6733723]"
290,OBOCK,OBOCK,"<[OK] Google - Geocode [Obock, Djibouti]>","{'northeast': [11.9751386, 43.2950915], 'southwest': [11.9593636, 43.2825709]}","[11.9647465, 43.2884071]"
291,BOSTON MAS,"BOSTON, MA","<[OK] Google - Geocode [Boston, MA, USA]>","{'northeast': [42.40081989999999, -70.749455], 'southwest': [42.22788, -71.191113]}","[42.3600825, -71.0588801]"
292,NEWPORT VA,"NEWPORT, VA","<[OK] Google - Geocode [Newport, VA 24128, USA]>","{'northeast': [37.3031695, -80.479326], 'southwest': [37.2854164, -80.5113408]}","[37.29429349999999, -80.49533339999999]"
293,PROVIDENCE PA,"PROVIDENCE, PA","<[OK] Google - Geocode [Providence Township, PA, USA]>","{'northeast': [39.947941, -76.1699759], 'southwest': [39.8672339, -76.290716]}","[39.90250839999999, -76.23632479999999]"
294,NEGAUNEE MI,"NEGAUNEE, MI","<[OK] Google - Geocode [Negaunee, MI 49866, USA]>","{'northeast': [46.5207068, -87.552056], 'southwest': [46.4702, -87.65616]}","[46.5090928, -87.60687209999999]"
295,PINXTENN,PINXTENN,<[ZERO_RESULTS] Google - Geocode [empty]>,,
296,S JOSE COL,S JOSE COL,<[ZERO_RESULTS] Google - Geocode [empty]>,,
297,MIDDLETON,MIDDLETON,"<[OK] Google - Geocode [Middleton, WI, USA]>","{'northeast': [43.145247, -89.46298], 'southwest': [43.082029, -89.5619298]}","[43.09721740000001, -89.5042876]"
298,UTICA NY,"UTICA, NY","<[OK] Google - Geocode [Utica, NY, USA]>","{'northeast': [43.132269, -75.1609059], 'southwest': [43.0644689, -75.295296]}","[43.100903, -75.232664]"
299,PUEBLO COL,"PUEBLO, CO","<[OK] Google - Geocode [Pueblo, CO, USA]>","{'northeast': [38.345385, -104.460868], 'southwest': [38.1891058, -104.7208689]}","[38.2544472, -104.6091409]"
300,JERSEY-NY,"JERSEY, NY","<[OK] Google - Geocode [Jersey City, NJ, USA]>","{'northeast': [40.768867, -74.020405], 'southwest': [40.661622, -74.1170569]}","[40.7177545, -74.0431435]"
301,SYRACUSA NY,"SYRACUSE, NY","<[OK] Google - Geocode [Syracuse, NY, USA]>","{'northeast': [43.0861018, -76.0740841], 'southwest': [42.984366, -76.20447600000001]}","[43.0481221, -76.14742439999999]"
302,GLASSGOW NY,"GLASSGOW, NY","<[OK] Google - Geocode [Glasco, NY, USA]>","{'northeast': [42.0603531, -73.932763], 'southwest': [42.030268, -73.971702]}","[42.0480013, -73.9527911]"
303,NESQUEHANING PA,"NESQUEHANING, PA","<[OK] Google - Geocode [Nesquehoning, PA, USA]>","{'northeast': [40.9029839, -75.739144], 'southwest': [40.8323198, -75.927375]}","[40.864534, -75.81102770000001]"
304,FREDONIA,FREDONIA,"<[OK] Google - Geocode [Fredonia, NY 14063, USA]>","{'northeast': [42.457303, -79.30790379999999], 'southwest': [42.4239919, -79.35526589999999]}","[42.4400576, -79.3317105]"
305,NEW LONDON,NEW LONDON,"<[OK] Google - Geocode [New London, CT, USA]>","{'northeast': [41.386998, -72.0551189], 'southwest': [41.2764979, -72.12853009999999]}","[41.3556539, -72.0995209]"
306,DASTON OH,"DASTON, OH","<[OK] Google - Geocode [Dayton, OH, USA]>","{'northeast': [39.9208229, -84.0929378], 'southwest': [39.7018339, -84.3113769]}","[39.7589478, -84.1916069]"
307,NEW HARVEN CT,"NEW HARVEN, CT","<[OK] Google - Geocode [New Haven, CT, USA]>","{'northeast': [41.35038, -72.8601438], 'southwest': [41.2461968, -72.998048]}","[41.308274, -72.9278835]"
308,UTICA,UTICA,"<[OK] Google - Geocode [Utica, NY, USA]>","{'northeast': [43.132269, -75.1609059], 'southwest': [43.0644689, -75.295296]}","[43.100903, -75.232664]"
309,JOHNSTOWN-PA,"JOHNSTOWN, PA","<[OK] Google - Geocode [Johnstown, PA, USA]>","{'northeast': [40.36421199999999, -78.8820461], 'southwest': [40.2896741, -78.955348]}","[40.32674069999999, -78.9219698]"
310,"SUSPENSION BRIDGE,NY","SUSPENSION BRIDGE, NY","<[OK] Google - Geocode [Verrazzano-Narrows Bridge, Verrazzano-Narrows Bridge, Staten Island, NY, USA]>","{'northeast': [40.6079651802915, -74.0433112197085], 'southwest': [40.6052672197085, -74.0460091802915]}","[40.6066162, -74.0446602]"
