Manifest Identification Number,Ship Name,Port of Departure (Embarkation),Date of Arrival
82159,LETIMBRO,PALERMO,07/27/1892
81396,PLATA,PALERMO,07/27/1889
13122,BRAZILIAN,UNKNOWN,07/26/1847
81226,ALESIA,PALERMO,07/25/1888
80400,ARCHIMEDE,GIBRALTAR & PALERMO,07/25/1883
42753,EMS,"MESSINA, NAPLES, PALERMO & TRIESTE",07/24/1893
80871,ITALIA,PALERMO,07/24/1886
81654,ELSIE,PALERMO,07/23/1890
81223,PLATA,PALERMO,07/23/1888
58155,EGADI,PALERMO,07/23/1881
83311,WERRA,"MESSINA, NAPLES & PALERMO",07/22/1895
81059,TRINACRIA,NAPLES & PALERMO,07/22/1887
13054,COLLECTOR,UNKNOWN,07/22/1846
10613,ELENA,UNKNOWN,07/21/1862
81652,ENTELLA,NAPLES & PALERMO,07/19/1890
800884,GEM,UNKNOWN,07/18/1885
60089,RED SEA,UNKNOWN,07/17/1893
82935,SARNIA,UNKNOWN,07/16/1897
81648,BELGRAVIA,"GIBRALTAR, NAPLES & PALERMO",07/16/1890
81221,ENTELLA,PALERMO,07/16/1888
81920,COLON,UNKNOWN,07/15/1891
81387,ITALIA,"GIBRALTAR, NAPLES & PALERMO",07/15/1889
58145,BUCENTANI,PALERMO,07/15/1881
80393,ITALIA,"MESSINA, NAPLES & PALERMO",07/14/1883
23151,DAMASCUS,UNKNOWN,07/11/1848
81218,AUSTRALIA,NAPLES & PALERMO,07/09/1888
81219,NEUSTRIA,PALERMO,07/09/1888
82386,NORTH BRITAIN,PALERMO,07/08/1893
81068,UTOPIA,"GIBRALTAR, NAPLES & PALERMO",07/08/1887
80685,GOTTARDO,PALERMO,07/06/1885
80390,VINCENZO FLORIO,PALERMO,07/06/1883
81907,CALIFORNIA,"MESSINA, NAPLES, PALERMO & TRIESTE",07/01/1891
800981,ATHOS,UNKNOWN,07/01/1886
80682,INDIA,"GIBRALTAR, NAPLES & PALERMO",07/01/1885
